id,chr,start,end,motif_start,motif_end,motif_pvalue,motif_strand,#motifs,occupancy_score,annotation,mid_position,domain_100k_1M_left,domain_100k_1M_right,cancer_peaks,normal_peaks,all_peaks,cancer_total,normal_total,all_total,cancer_mean,normal_mean,ctrl_mean,cancer_vs_other_stats,cancer_vs_other_pvalue,cancer_vs_other_adjp,normal_vs_other_stats,normal_vs_other_pvalue,normal_vs_other_adjp,cancer_vs_normal_stats,cancer_vs_normal_pvalue,cancer_vs_normal_adjp,promoter_allgenes,promoter_allgenes_pos,promoter_allgenes_hicor,promoter_allgenes_hicor_pos,promoter_upgenes,promoter_upgenes_pos,promoter_upgenes_hicor,promoter_upgenes_hicor_pos,promoter_upgenes_names,promoter_upgenes_hicor_names,promoter_dngenes,promoter_dngenes_pos,promoter_dngenes_hicor,promoter_dngenes_hicor_pos,promoter_dngenes_names,promoter_dngenes_hicor_names,domain_allgenes,domain_allgenes_pos,domain_allgenes_hicor,domain_allgenes_hicor_pos,domain_upgenes,domain_upgenes_pos,domain_upgenes_hicor,domain_upgenes_hicor_pos,domain_upgenes_names,domain_upgenes_hicor_names,domain_dngenes,domain_dngenes_pos,domain_dngenes_hicor,domain_dngenes_hicor_pos,domain_dngenes_names,domain_dngenes_hicor_names
169953,chr4,1513202,1513763,1513340,1513359,2.75e-07,-,2,603,Distal,1513349,1356381.0,1613349.0,0,5,603,2,5,771,0.53,10.5,7.7,-1.53,0.1252,0.9999639113286896,0.94,0.3471,0.9999556432009742,-1.59,0.1717,0.8524326049760717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
170945,chr4,4575189,4575759,4575436,4575455,2.77e-05,+,1,553,Intron,4575445,4430771.0,4678432.0,0,3,553,2,5,771,0.52,6.27,4.71,-1.53,0.1267,0.9999639113286896,0.9,0.3709,0.9999556432009742,-1.49,0.1962,0.8524326049760717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
173883,chr4,17468549,17469083,N,N,N,N,N,546,Distal,17468816,17368816.0,17568816.0,0,4,546,2,5,771,0.69,6.62,4.87,-1.88,0.060479999999999985,0.9999639113286896,1.24,0.2156,0.9999556432009742,-1.69,0.1509,0.8470295250519794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
194506,chr4,143558897,143559237,143559077,143559096,6.82e-06,+,2,598,Promoter,143559086,143459086.0,143774172.0,0,5,598,2,5,771,0.56,15.67,13.25,-1.75,0.08051,0.9999639113286896,0.53,0.5975,0.9999556432009742,-4.59,0.005871,0.17510469885625166,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,GUSBP5,,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,GUSBP5,
203786,chr5,1594466,1594812,N,N,N,N,N,582,Promoter,1594639,1168317.0,1694639.0,0,4,582,2,5,771,0.56,6.23,10.45,-1.8,0.0715,0.9999639113286896,-1.22,0.224,0.9999556432009742,-2.03,0.09813,0.7468083636785725,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,SLC6A19,
214201,chr5,45696247,45696620,45696407,45696426,9.34e-08,-,1,603,Promoter,45696416,45038569.0,46696416.0,0,5,603,2,5,771,0.6,11.66,10.5,-1.73,0.08325,0.9999639113286896,0.32,0.7486,0.9999556432009742,-3.01,0.02976,0.4313915404699739,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
229800,chr5,126594932,126595583,126595404,126595423,2.09e-06,-,1,561,Promoter,126595413,126495413.0,126695413.0,0,2,561,2,5,771,0.49,1.73,5.03,-1.85,0.0649,0.9999639113286896,-2.13,0.033819999999999996,0.5318835103029195,-2.12,0.08749,0.7148360180635667,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
231477,chr5,133610822,133611271,133611087,133611106,1.7e-05,-,1,626,Promoter,133611096,133511096.0,133711096.0,0,5,626,2,5,771,0.29,6.75,7.8,-2.05,0.040510000000000004,0.9999639113286896,-0.45,0.6514,0.9999556432009742,-2.46,0.05706,0.5911920948152607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
289917,chr7,23679775,23680281,23680123,23680142,1.24e-05,+,2,650,Promoter,23680132,23580132.0,23780132.0,0,5,650,2,5,771,0.41,8.57,11.08,-2.29,0.022359999999999998,0.9523182652808708,-0.85,0.3953,0.9999556432009742,-2.05,0.09607,0.7411263464404577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
291559,chr7,28955975,28956413,28956191,28956210,3.29e-05,-,1,550,Exon,28956200,28856200.0,29102755.0,0,5,550,2,5,771,3.27,9.1,12.13,-1.18,0.2372,0.9999639113286896,-0.64,0.5222,0.9999556432009742,-1.45,0.2057,0.8524326049760717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
300438,chr7,66413663,66414103,66413820,66413839,5.01e-06,+,2,596,Distal,66413829,66031045.0,67000870.0,0,5,596,2,5,771,0.72,15.74,9.1,-1.84,0.06646,0.9999639113286896,2.3,0.02198,0.3918598839829082,-3.02,0.02936,0.4289904984304743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,9.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,TPST1,,0.0,0.0,0.0,0.0,,
357689,chr8,126556216,126556914,126556494,126556513,2e-05,+,5,567,Promoter,126556503,126456503.0,126656503.0,0,4,567,2,5,771,0.26,6.02,7.73,-1.39,0.1664,0.9999639113286896,-0.5,0.6156,0.9999556432009742,-2.49,0.05517999999999999,0.582262830980951,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,FAM84B,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,FAM84B,
361860,chr8,140099145,140099513,140099327,140099346,8.53e-05,-,1,607,Intron,140099336,139705955.0,140394021.0,0,4,607,2,5,771,0.29,8.51,12.93,-2.02,0.04421,0.9999639113286896,-1.11,0.2655,0.9999556432009742,-3.22,0.02358,0.3810510509142978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
368159,chr9,22008645,22009734,22008758,22008777,2.17e-07,-,2,587,Promoter,22008767,21813154.0,22452617.0,0,5,587,2,5,771,0.04,7.19,7.93,-1.97,0.04952,0.9999639113286896,-0.29,0.7722,0.9999556432009742,-1.82,0.128,0.8129678042759371,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,CDKN2B,,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,2.0,0.0,0.0,"CDKN2A,CDKN2B",
369104,chr9,29212196,29212586,29212303,29212322,1.31e-05,-,3,596,Promoter,29212312,28212312.0,30212312.0,0,5,596,2,5,771,0.78,11.9,11.29,-1.75,0.08113,0.9999639113286896,0.16,0.8715,0.9999556432009742,-1.59,0.1737,0.8524326049760717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
405386,chr10,43362309,43362835,43362480,43362499,7.03e-05,-,1,570,Distal,43362489,43262489.0,43462489.0,0,4,570,2,5,771,0.52,8.65,5.82,-1.68,0.09329,0.9999639113286896,1.42,0.1571,0.9999556432009742,-4.4,0.00705,0.19397403980656247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
407894,chr10,55631219,55631544,55631452,55631471,1.51e-05,+,2,540,Distal,55631461,55264102.0,56631461.0,0,5,540,2,5,771,0.36,10.3,10.8,-1.55,0.1204,0.9999639113286896,-0.12,0.9067,0.9999556432009742,-2.57,0.04997,0.5559904502771806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
425049,chr10,126387019,126387358,N,N,N,N,N,618,Promoter,126387188,125982496.0,126504299.0,0,5,618,2,5,771,0.36,9.31,11.57,-1.97,0.04894,0.9999639113286896,-0.63,0.5295,0.9999556432009742,-2.81,0.03775,0.4833753952458894,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
425562,chr10,128210138,128210544,128210335,128210354,9.07e-07,+,1,653,Distal,128210344,128110344.0,128310344.0,0,4,653,2,5,771,0.97,12.77,12.53,-2.15,0.03215,0.9999639113286896,0.07,0.9443,0.9999556432009742,-1.34,0.2388,0.8524326049760717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
438370,chr11,57483061,57483395,57483205,57483224,3.51e-06,-,1,564,Distal,57483214,57383214.0,57583214.0,0,5,564,2,5,771,0.57,16.24,13.76,-1.92,0.055560000000000005,0.9999639113286896,0.57,0.5696,0.9999556432009742,-2.44,0.0587,0.5993619729172538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
442656,chr11,71251801,71252365,71251926,71251945,4.4e-07,-,1,547,Distal,71251935,71086966.0,71351935.0,0,2,547,2,5,771,0.28,1.9,6.07,-1.37,0.1716,0.9999639113286896,-1.56,0.1202,0.9999556432009742,-1.11,0.317,0.8524326049760717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
467998,chr12,48924576,48924915,48924719,48924738,4.17e-05,+,1,566,Promoter,48924728,48824728.0,49024728.0,0,5,566,2,5,771,0.16,14.43,11.19,-1.81,0.07143,0.9999639113286896,0.84,0.4024,0.9999556432009742,-7.12,0.0008470000000000001,0.0584853924774323,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
469886,chr12,54370295,54370553,54370413,54370432,8.31e-06,+,1,615,Exon,54370422,54270422.0,54470422.0,0,4,615,2,5,771,1.64,10.76,23.19,-2.24,0.02538,0.9999639113286896,-2.04,0.041710000000000004,0.6122598262223076,-1.32,0.2428,0.8524326049760717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
470169,chr12,55646093,55646536,55646307,55646326,7.18e-07,+,1,582,Distal,55646316,55546316.0,55746316.0,0,5,582,2,5,771,0.44,22.17,16.66,-1.95,0.05184,0.9999639113286896,1.04,0.2966,0.9999556432009742,-4.12,0.009198999999999999,0.2240609386852533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
514773,chr14,36647861,36648363,36648114,36648133,1.02e-05,+,1,557,Distal,36648123,36548123.0,36748123.0,0,5,557,2,5,771,0.56,8.18,6.78,-1.56,0.1199,0.9999639113286896,0.55,0.5801,0.9999556432009742,-3.55,0.01635,0.30939566107751515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
556367,chr15,99104722,99105089,99104936,99104955,6.09e-06,+,2,670,Promoter,99104945,99004945.0,99204945.0,0,4,670,2,5,771,1.35,13.05,19.39,-2.23,0.026269999999999998,0.9999639113286896,-1.23,0.2174,0.9999556432009742,-1.71,0.1483,0.8441568743695325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
563314,chr16,21283757,21284312,21284034,21284053,3.37e-05,+,1,541,Intron,21284043,21184043.0,21384043.0,0,5,541,2,5,771,0.38,5.89,4.29,-1.68,0.0933,0.9999639113286896,1.09,0.2775,0.9999556432009742,-1.68,0.1531,0.8493165071153443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
577666,chr16,87461369,87461725,87461569,87461588,5.83e-06,+,1,582,Intron,87461578,87361578.0,87571615.0,0,4,582,2,5,771,0.49,4.15,10.09,-2.05,0.041089999999999995,0.9999639113286896,-2.0,0.04559,0.6486345115423564,-2.32,0.06776,0.6390742816434453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
578290,chr16,88941866,88942264,88941981,88942000,9.85e-07,+,1,641,Promoter,88941990,88841990.0,89041990.0,0,5,641,2,5,771,0.53,18.8,12.66,-1.84,0.0663,0.9999639113286896,1.46,0.1442,0.9999556432009742,-1.54,0.185,0.8524326049760717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
585459,chr17,27349101,27349388,27349230,27349249,1.68e-05,-,3,557,Distal,27349239,27249239.0,27449239.0,0,5,557,2,5,771,0.7,22.98,15.33,-1.96,0.05036,0.9999639113286896,1.61,0.1067,0.9999556432009742,-2.41,0.06057000000000001,0.6086876071819576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
606346,chr18,8367343,8367734,8367565,8367584,8.25e-05,+,1,539,Promoter,8367574,7452366.0,8478869.0,0,5,539,2,5,771,0.27,10.7,6.86,-1.69,0.0912,0.9999639113286896,1.55,0.1204,0.9999556432009742,-3.71,0.013880000000000002,0.28091708128766724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
616823,chr18,63949079,63949728,63949253,63949272,1.08e-05,+,1,539,Promoter,63949262,63849262.0,64049262.0,0,4,539,2,5,771,0.32,1.92,3.68,-1.85,0.06467,0.9999639113286896,-1.53,0.1258,0.9999556432009742,-3.74,0.01349,0.2762398408637972,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
623761,chr19,12495240,12495663,12495325,12495344,3.55e-05,+,2,568,Distal,12495334,12141319.0,12595334.0,0,5,568,2,5,771,0.43,11.31,6.85,-1.82,0.06915,0.9999639113286896,2.0,0.04587,0.6513125614635756,-4.44,0.006758,0.1895300728433725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,ZNF563,
653553,chr20,59933954,59934374,59934164,59934183,1.33e-07,+,1,712,Promoter,59934173,59834173.0,60034173.0,0,5,712,2,5,771,0.72,15.97,20.28,-2.62,0.008908,0.5300046630660215,-0.91,0.3619,0.9999556432009742,-2.24,0.07508,0.6704793010766635,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,SYCP2,,0.0,0.0,0.0,0.0,,
659360,chr21,34201840,34202671,N,N,N,N,N,684,Distal,34202255,33924174.0,34302255.0,0,5,684,2,5,771,0.17,7.37,6.71,-2.21,0.02752,0.9999639113286896,0.35,0.7257,0.9999556432009742,-2.19,0.08032,0.6899063891800169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
663155,chr21,44911624,44911986,44911801,44911820,9.76e-06,-,1,569,Intron,44911810,44793492.0,45011810.0,0,4,569,2,5,771,0.31,16.81,11.06,-1.74,0.08167999999999999,0.9999639113286896,1.47,0.141,0.9999556432009742,-5.9,0.001983,0.0976575368052078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
