chr,start,end,id,motif_start,motif_end,motif_pvalue,motif_strand,#motifs,occupancy_score,annotation,mid_position
chr1,6523609,6523970,1877,6523795,6523814,4.06e-07,-,1,693,Exon,6523804
chr1,6554008,6554867,1885,6554600,6554619,5.63e-08,-,3,763,Promoter,6554609
chr1,6634625,6635011,1912,6634775,6634794,9.6e-08,-,2,681,Exon,6634784
chr1,6646523,6646837,1920,6646688,6646707,1.33e-05,-,1,700,Intron,6646697
chr1,6701685,6702274,1935,6701896,6701915,2.89e-06,-,2,744,Promoter,6701905
chr1,6719818,6720355,1936,6720164,6720183,1.95e-07,+,1,748,Distal,6720173
chr1,6727498,6728011,1939,6727738,6727757,6.11e-05,-,1,751,Intron,6727747
chr1,6889947,6890217,2000,6890059,6890078,2.03e-08,-,1,731,Intron,6890068
chr1,7042486,7043297,2051,7042893,7042912,6.18e-08,+,2,697,Intron,7042902
chr1,7070443,7071025,2056,7070575,7070594,1.59e-08,-,1,746,Intron,7070584
chr1,7207850,7208235,2097,7207833,7207852,3.01e-05,-,2,680,Intron,7207842
chr1,7218233,7218560,2099,7218416,7218435,6.47e-06,-,2,721,Intron,7218425
chr1,7539407,7540061,2212,7539908,7539927,1.18e-07,-,3,653,Intron,7539917
chr1,7647151,7647839,2249,7647405,7647424,4.99e-11,-,2,757,Intron,7647414
chr1,7667577,7667882,2256,7667705,7667724,2.81e-06,+,2,762,Intron,7667714
chr1,7669500,7669810,2258,7669639,7669658,7.74e-07,+,2,712,Intron,7669648
chr1,7752629,7753444,2283,7752994,7753013,2.23e-09,-,1,729,Intron,7753003
chr1,7808256,7808622,2306,N,N,N,N,N,628,Intron,7808439
chr1,7902741,7903037,2337,7902933,7902952,1.09e-07,-,1,743,Distal,7902942
chr1,7961057,7961958,2351,N,N,N,N,N,681,Promoter,7961507
chr1,7975284,7975573,2353,7975393,7975412,2.97e-06,+,2,753,Intron,7975402
chr1,7982353,7982693,2355,7982474,7982493,6.26e-08,+,2,752,Intron,7982483
chr1,8014991,8015383,2370,8015170,8015189,7.74e-07,+,1,696,Intron,8015179
chr1,8031003,8031512,2375,8031376,8031395,4.07e-06,+,1,641,Distal,8031385
chr1,8314332,8314733,2483,8314471,8314490,1.51e-06,-,1,744,Distal,8314480
chr1,8348940,8349340,2494,8349161,8349180,1.43e-09,-,2,749,Distal,8349170
chr1,8351615,8352057,2495,8351843,8351862,1.37e-06,-,4,658,Distal,8351852
chr1,8374810,8375177,2500,8374984,8375003,9.6e-06,+,1,649,Intron,8374993
chr1,8409045,8409513,2514,8409172,8409191,2.25e-05,+,1,653,Intron,8409181
chr1,8561088,8561411,2567,N,N,N,N,N,714,Intron,8561249
chr1,8671328,8671648,2594,8671488,8671507,5.77e-06,-,1,726,Intron,8671497
chr1,8726276,8727125,2612,8726693,8726712,7.5e-06,-,1,715,Intron,8726702
chr1,8848866,8849456,2637,8849074,8849093,9.11e-08,-,2,755,Distal,8849083
chr1,8859362,8859730,2638,8859584,8859603,1.62e-06,+,1,699,Distal,8859593
chr1,8862441,8862874,2640,8862635,8862654,1.45e-07,+,3,669,Intron,8862644
chr1,8918066,8918434,2667,8918259,8918278,3.96e-05,+,1,713,Distal,8918268
chr1,8962896,8963324,2679,8963081,8963100,2.45e-07,+,1,681,Intron,8963090
chr1,8988073,8988361,2688,8988216,8988235,1.67e-06,-,1,759,Distal,8988225
chr1,9005049,9005471,2693,9005286,9005305,2.09e-05,-,1,749,Intron,9005295
chr1,9009938,9010395,2695,9010198,9010217,2.48e-07,+,3,619,Exon,9010207
chr1,9101588,9101972,2724,9101722,9101741,1.42e-06,-,2,720,Distal,9101731
chr1,9110813,9111080,2727,9110927,9110946,2.98e-08,+,1,761,Intron,9110936
chr1,9142237,9142564,2739,9142419,9142438,7.46e-08,+,1,756,Distal,9142428
chr1,9181182,9181784,2750,9181444,9181463,2.29e-08,+,2,757,Promoter,9181453
chr1,9196327,9196987,2754,9196314,9196333,2.46e-05,-,2,749,Distal,9196323
chr1,9234268,9234840,2763,9234586,9234605,1.69e-07,+,3,718,Promoter,9234595
chr1,9250012,9250372,2772,9250218,9250237,2.39e-06,-,1,709,Intron,9250227
chr1,9267129,9267508,2777,9267304,9267323,4.02e-05,-,1,752,Exon,9267313
chr1,9289057,9289402,2785,9289179,9289198,1.68e-06,+,1,733,Distal,9289188
chr1,9455807,9456342,2858,9455952,9455971,7e-06,-,1,741,Distal,9455961
chr1,9491125,9491384,2867,9491237,9491256,3.88e-07,-,1,747,Distal,9491246
chr1,9495053,9495519,2868,9495404,9495423,5.75e-10,+,2,748,Distal,9495413
chr1,9588354,9588856,2899,9588615,9588634,5.67e-06,+,1,718,Promoter,9588624
chr1,9615622,9615958,2904,9615757,9615776,3.93e-05,+,3,717,Distal,9615766
chr1,9626862,9627284,2906,9627183,9627202,2.93e-09,+,4,760,Distal,9627192
chr1,9702198,9702637,2925,9702425,9702444,1.06e-06,+,2,694,Intron,9702434
chr1,9721793,9722216,2933,9721964,9721983,1.25e-07,+,3,627,Exon,9721973
chr1,9724953,9725338,2934,9725213,9725232,3.27e-07,+,3,753,Intron,9725222
chr1,9784542,9784863,2951,9784720,9784739,6.05e-07,+,2,720,Intron,9784729
chr1,9867504,9867786,2984,9867648,9867667,1.32e-08,-,2,762,Intron,9867657
chr1,9874883,9875230,2985,9875038,9875057,1.66e-08,+,1,763,Intron,9875047
chr1,9942362,9942736,3005,9942514,9942533,1.37e-05,-,1,670,Promoter,9942523
chr1,9950369,9950644,3007,9950486,9950505,8.79e-07,+,1,758,Intron,9950495
chr1,10032459,10032799,3022,10032655,10032674,7.16e-08,-,2,742,Promoter,10032664
chr1,10152949,10153300,3063,10153121,10153140,7.26e-07,-,2,722,Intron,10153130
chr1,10209829,10210509,3082,10210343,10210362,1.62e-09,+,2,755,Promoter,10210352
chr1,10338110,10338410,3112,10338226,10338245,3.71e-06,-,2,712,Intron,10338235
chr1,10377429,10377791,3118,N,N,N,N,N,736,Exon,10377610
chr1,10428119,10428482,3133,10428236,10428255,1.63e-07,-,1,731,Promoter,10428245
chr1,10430206,10430544,3134,10430364,10430383,6.81e-07,+,1,745,Promoter,10430373
chr1,10494689,10495323,3148,10494818,10494837,1.79e-07,-,2,764,Intron,10494827
chr1,10507457,10507790,3150,10507479,10507498,1.4e-05,-,2,750,Intron,10507488
chr1,10514471,10514771,3155,10514597,10514616,7.49e-05,+,1,672,Intron,10514606
chr1,10692388,10692714,3223,10692546,10692565,1.75e-06,+,1,640,Intron,10692555
chr1,10867165,10867713,3296,10867283,10867302,3.93e-07,-,1,694,Distal,10867292
chr1,10909875,10910248,3307,10910091,10910110,1.86e-07,-,1,684,Distal,10910100
chr1,10941890,10942430,3318,10942131,10942150,3.17e-07,-,2,759,Distal,10942140
chr1,10960958,10961320,3324,N,N,N,N,N,750,Intron,10961139
chr1,11037630,11037923,3346,11037771,11037790,1.04e-07,+,1,763,Exon,11037780
chr1,11241443,11242183,3401,11241873,11241892,6.25e-07,+,1,718,Intron,11241882
chr1,11320172,11320507,3421,11320340,11320359,1.1e-07,+,1,692,Distal,11320349
chr1,11337392,11337835,3425,11337688,11337707,9.46e-07,+,1,740,Distal,11337697
chr1,11478659,11479074,3460,11478831,11478850,1.19e-06,+,5,687,Promoter,11478840
chr1,11642357,11642746,3494,11642598,11642617,1.56e-06,-,1,756,Distal,11642607
chr1,11645728,11646069,3495,11645851,11645870,9.06e-09,-,1,691,Distal,11645860
chr1,11650367,11650735,3497,11650565,11650584,1.39e-05,-,3,637,Exon,11650574
chr1,11664032,11664394,3503,11664186,11664205,9.85e-06,+,2,720,Promoter,11664195
chr1,11711074,11711451,3522,11711262,11711281,4.62e-06,-,2,704,Intron,11711271
chr1,11719746,11720120,3524,11719960,11719979,2.3e-07,-,1,764,Exon,11719969
chr1,11749161,11749481,3539,11749345,11749364,2.6e-06,-,2,673,Intron,11749354
chr1,11785139,11785619,3549,11785332,11785351,4.98e-08,+,1,751,Intron,11785341
chr1,11838677,11839017,3566,11838837,11838856,1.38e-08,+,2,763,Promoter,11838846
chr1,11865525,11865857,3573,N,N,N,N,N,639,Distal,11865691
chr1,11893932,11894301,3585,11894113,11894132,1.74e-08,-,3,756,Distal,11894122
chr1,11907691,11907993,3588,N,N,N,N,N,722,Promoter,11907842
chr1,11967125,11967480,3613,11967386,11967405,5.67e-06,+,3,692,Intron,11967395
chr1,12001602,12002165,3630,12001931,12001950,2.92e-05,-,2,683,Intron,12001940
chr1,12031246,12031551,3641,12031430,12031449,2.65e-06,-,2,685,Intron,12031439
chr1,12079407,12079903,3664,12079761,12079780,3.71e-07,-,1,695,Intron,12079770
chr1,12118663,12118943,3674,12118786,12118805,1.51e-09,+,1,754,Intron,12118795
chr1,12124842,12125105,3675,12124952,12124971,1.5e-06,+,1,760,Intron,12124961
chr1,12208894,12209166,3711,12209026,12209045,2.05e-07,-,1,757,Exon,12209035
chr1,12229530,12230083,3718,12229938,12229957,4.3e-06,+,1,754,Promoter,12229947
chr1,12275423,12275720,3728,12275561,12275580,4.44e-07,+,1,704,Intron,12275570
chr1,12601274,12601618,3853,12601412,12601431,5.38e-06,+,1,669,Intron,12601421
chr1,12619762,12620189,3861,12620024,12620043,4.46e-06,-,2,757,Distal,12620033
chr1,12658997,12659313,3872,12659152,12659171,1.34e-08,-,3,758,Intron,12659161
chr1,13356828,13357145,3933,13356962,13356981,4.22e-06,+,1,685,Distal,13356971
chr1,13422505,13422878,3936,13422744,13422763,1.15e-07,-,2,693,Distal,13422753
chr1,13665718,13666098,3993,13665842,13665861,2.53e-06,+,1,749,Distal,13665851
chr1,13725871,13726205,4011,13726021,13726040,6.88e-08,-,1,660,Intron,13726030
chr1,13813610,13813957,4041,13813798,13813817,5.12e-08,-,1,651,Intron,13813807
chr1,13828873,13829220,4044,13829021,13829040,3.71e-05,+,1,664,Distal,13829030
chr1,13960426,13960708,4071,13960565,13960584,6.18e-08,-,1,761,Distal,13960574
chr1,13965838,13966130,4073,13965975,13965994,4.38e-06,+,1,647,Distal,13965984
chr1,14731698,14732260,4244,14732077,14732096,2.35e-05,-,2,730,Intron,14732086
chr1,14779113,14779464,4254,14779312,14779331,1.27e-07,+,1,710,Intron,14779321
chr1,14915368,14915759,4285,14915530,14915549,4.83e-06,+,3,756,Intron,14915539
chr1,15027516,15027887,4323,15027672,15027691,2.53e-07,-,1,752,Intron,15027681
chr1,15046560,15047066,4327,15046705,15046724,2e-07,-,2,752,Intron,15046714
chr1,15062460,15062840,4331,15062663,15062682,1.76e-05,+,1,635,Intron,15062672
chr1,15100362,15100676,4341,N,N,N,N,N,750,Intron,15100519
chr1,15128570,15128835,4347,15128694,15128713,1.22e-07,+,1,754,Intron,15128703
chr1,15152327,15152657,4352,15152481,15152500,1.47e-05,+,1,647,Promoter,15152490
chr1,15154060,15154525,4356,15154218,15154237,2.32e-06,-,1,709,Promoter,15154227
chr1,15272554,15272878,4408,15272720,15272739,1.19e-06,-,2,745,Intron,15272729
chr1,15304771,15305073,4417,15304905,15304924,1.62e-10,-,1,757,Intron,15304914
chr1,15323573,15323868,4423,15323714,15323733,1.43e-09,+,1,760,Intron,15323723
chr1,15430969,15431443,4467,15431308,15431327,9.11e-08,-,2,760,Distal,15431317
chr1,15501465,15501964,4487,15501581,15501600,1.34e-06,-,1,735,Intron,15501590
chr1,15595052,15595446,4510,15595278,15595297,1.86e-06,+,1,640,Distal,15595287
chr1,15741352,15741679,4565,15741530,15741549,7.91e-07,-,1,753,Promoter,15741539
chr1,15792039,15792341,4581,15792194,15792213,3.34e-08,+,1,764,Distal,15792203
chr1,15803392,15803719,4583,15803530,15803549,3.92e-06,+,1,666,Distal,15803539
chr1,15815536,15815844,4586,15815700,15815719,5.02e-07,+,1,735,Distal,15815709
chr1,15994586,15994955,4650,15994711,15994730,8.75e-06,-,2,730,Distal,15994720
chr1,16009053,16009312,4654,16009187,16009206,2.48e-07,+,1,763,Distal,16009196
chr1,16032820,16033151,4662,16033003,16033022,1.34e-05,-,2,748,Intron,16033012
chr1,16056029,16056410,4669,16056257,16056276,3.96e-06,-,2,763,Intron,16056266
chr1,16078900,16079213,4675,16079043,16079062,1.75e-07,+,2,748,Distal,16079052
chr1,16082363,16082657,4676,16082503,16082522,5.98e-09,+,1,735,Distal,16082512
chr1,16187815,16188127,4730,16187921,16187940,2.99e-09,-,2,764,Distal,16187930
chr1,16244423,16244741,4749,16244563,16244582,9.76e-07,-,1,746,Distal,16244572
chr1,16352404,16352883,4782,16352551,16352570,2.01e-05,+,1,655,Promoter,16352560
chr1,16363156,16363745,4783,16363536,16363555,8.08e-07,-,1,697,Distal,16363545
chr1,16440143,16440774,4807,16440611,16440630,1.37e-07,+,5,759,Promoter,16440620
chr1,16621096,16621393,4878,16621193,16621212,6.66e-07,-,1,754,Intron,16621202
chr1,16624941,16625228,4879,16625073,16625092,3.47e-05,+,2,706,Intron,16625082
chr1,16644238,16645078,4885,16644476,16644495,4.27e-05,-,2,717,Promoter,16644485
chr1,16951695,16951988,5007,16951857,16951876,2.99e-07,+,1,750,Intron,16951866
chr1,16960593,16961001,5009,16960730,16960749,4.22e-06,-,2,671,Intron,16960739
chr1,17046033,17046418,5041,17046265,17046284,3.29e-06,-,1,701,Intron,17046274
chr1,17059665,17059981,5046,17059828,17059847,3.65e-05,+,2,733,Distal,17059837
chr1,17075455,17076005,5053,17075597,17075616,3.88e-07,-,2,656,Intron,17075606
chr1,17125795,17126056,5071,17125924,17125943,4.98e-08,+,1,761,Distal,17125933
chr1,17237070,17237414,5109,17237219,17237238,5.57e-09,-,2,754,Intron,17237228
chr1,17274195,17274539,5122,17274381,17274400,5.02e-07,-,1,701,Intron,17274390
chr1,17336101,17336728,5138,17336274,17336293,2.33e-08,-,1,752,Intron,17336283
chr1,17406159,17406486,5161,17406335,17406354,1.24e-08,-,2,745,Distal,17406344
chr1,17419630,17420180,5165,17420017,17420036,1.21e-09,+,1,757,Intron,17420026
chr1,17477374,17477884,5188,N,N,N,N,N,723,Distal,17477629
chr1,17485330,17485659,5189,17485468,17485487,6.59e-07,-,1,639,Distal,17485477
chr1,17494268,17494564,5191,17494425,17494444,4.03e-08,+,1,762,Distal,17494434
chr1,17502303,17502730,5192,17502486,17502505,1.44e-06,+,1,759,Distal,17502495
chr1,17606883,17607185,5235,17607021,17607040,9.11e-08,-,1,755,Intron,17607030
chr1,17653818,17654179,5247,17653939,17653958,1.45e-07,+,1,727,Intron,17653948
chr1,17661626,17661897,5249,17661747,17661766,3.2e-08,+,1,750,Intron,17661756
chr1,17826065,17826426,5289,17826276,17826295,3.39e-08,-,1,692,Exon,17826285
chr1,17922816,17923244,5315,17923027,17923046,3.78e-06,+,1,660,Distal,17923036
chr1,17984521,17984909,5329,17984685,17984704,6.88e-06,+,1,695,Distal,17984694
chr1,18100219,18100828,5355,18100660,18100679,8.43e-07,-,1,734,Distal,18100669
chr1,18234751,18235299,5389,18234948,18234967,1.84e-07,-,2,716,Intron,18234957
chr1,18299697,18300025,5403,18299894,18299913,8.31e-06,+,1,713,Intron,18299903
chr1,18575544,18575926,5477,18575757,18575776,4.3e-06,-,1,634,Distal,18575766
chr1,18581392,18581740,5478,18581606,18581625,6.09e-06,-,1,719,Distal,18581615
chr1,18597430,18597740,5481,18597579,18597598,7.46e-08,+,1,751,Distal,18597588
chr1,18681351,18681725,5504,18681565,18681584,2.3e-07,-,1,697,Intron,18681574
chr1,18820801,18821129,5540,18820941,18820960,3.03e-06,-,2,748,Distal,18820950
chr1,18875032,18875556,5556,18875395,18875414,4.03e-06,-,2,746,Exon,18875404
chr1,18884127,18884454,5558,18884305,18884324,7.91e-05,+,1,751,Promoter,18884314
chr1,18906970,18907448,5566,18907109,18907128,5.63e-08,+,2,760,Exon,18907118
chr1,18913062,18913400,5567,18913204,18913223,5.73e-07,-,1,766,Intron,18913213
chr1,19096272,19096611,5649,19096417,19096436,2.14e-05,-,1,624,Intron,19096426
chr1,19113653,19113962,5654,19113799,19113818,3.51e-06,-,1,661,Exon,19113808
chr1,19241194,19241574,5686,19241423,19241442,1.17e-06,-,1,758,Intron,19241432
chr1,19341505,19341897,5711,19341651,19341670,3.34e-05,+,2,748,Intron,19341660
chr1,19344322,19344671,5712,19344526,19344545,9.56e-07,+,1,736,Intron,19344535
chr1,19391329,19391900,5725,19391504,19391523,4.97e-07,+,1,742,Intron,19391513
chr1,19487743,19488151,5769,N,N,N,N,N,676,Distal,19487947
chr1,19582288,19582588,5792,19582424,19582443,9.34e-08,-,1,737,Distal,19582433
chr1,19651175,19651496,5815,N,N,N,N,N,672,Intron,19651335
chr1,19653641,19654040,5816,19653861,19653880,3.97e-07,-,1,757,Intron,19653870
chr1,19659800,19660142,5817,19659999,19660018,1.22e-05,-,1,727,Distal,19660008
chr1,19661750,19662085,5818,19661916,19661935,4.01e-09,+,1,659,Distal,19661925
chr1,19704345,19704851,5830,19704707,19704726,5.01e-06,-,1,750,Intron,19704716
chr1,19715646,19715930,5832,19715775,19715794,5.71e-08,+,2,757,Intron,19715784
chr1,19762204,19762539,5849,19762373,19762392,3.11e-08,+,1,733,Intron,19762382
chr1,19811225,19811577,5862,19811406,19811425,1.11e-08,-,1,681,Distal,19811415
chr1,19882049,19882558,5873,19882255,19882274,7.36e-08,+,1,761,Promoter,19882264
chr1,19918010,19918305,5881,19918176,19918195,1.53e-07,+,2,750,Distal,19918185
chr1,19974767,19975113,5896,19974958,19974977,3.93e-05,+,2,734,Distal,19974967
chr1,20100940,20101243,5932,20100998,20101017,3.63e-05,-,1,736,Distal,20101007
chr1,20152369,20152648,5942,20152507,20152526,1.86e-07,-,1,757,Distal,20152516
chr1,20195231,20195507,5959,20195353,20195372,9.05e-06,-,1,749,Exon,20195362
chr1,20212625,20213181,5962,20213013,20213032,5.93e-08,+,2,737,Distal,20213022
chr1,20361788,20362174,6002,20361974,20361993,3.71e-07,+,1,740,Exon,20361983
chr1,20376913,20377262,6007,20377071,20377090,1.39e-05,+,2,744,Intron,20377080
chr1,20430431,20430958,6014,20430592,20430611,1.14e-08,-,2,720,Promoter,20430601
chr1,20493852,20494109,6039,20493963,20493982,7.76e-08,-,1,761,Distal,20493972
chr1,20522373,20522655,6043,20522499,20522518,1.79e-07,+,1,757,Distal,20522508
chr1,20575256,20575572,6058,20575413,20575432,2.05e-07,+,2,730,Distal,20575422
chr1,20632986,20633515,6069,20633481,20633500,5.88e-06,+,2,763,Promoter,20633490
chr1,20640121,20640740,6073,20640333,20640352,2.56e-06,+,4,751,Intron,20640342
chr1,20661279,20661711,6079,20661697,20661716,3.08e-05,-,2,643,Promoter,20661706
chr1,20696321,20696793,6092,20696592,20696611,9.4e-09,+,5,747,Intron,20696601
chr1,21195176,21195486,6199,21195346,21195365,5.19e-08,-,3,745,Distal,21195355
chr1,21216868,21217238,6202,21217038,21217057,1.3e-07,+,1,748,Distal,21217047
chr1,21232001,21232502,6206,21232142,21232161,1.47e-08,+,1,734,Intron,21232151
chr1,21255242,21255563,6214,21255377,21255396,1.61e-08,+,1,750,Intron,21255386
chr1,21270019,21270601,6220,21270364,21270383,9.76e-07,-,2,761,Intron,21270373
chr1,21334759,21335104,6249,21334886,21334905,2.3e-06,-,2,732,Intron,21334895
chr1,21368551,21368785,6258,21368661,21368680,1.42e-07,-,1,763,Distal,21368670
chr1,21370601,21370867,6260,21370720,21370739,7.87e-08,+,1,637,Distal,21370729
chr1,21490849,21491163,6288,21490991,21491010,1.61e-07,-,2,653,Distal,21491000
chr1,21508877,21509355,6290,21509236,21509255,5.54e-07,+,1,675,Promoter,21509245
chr1,21534848,21535106,6299,21534966,21534985,2.51e-06,-,1,686,Intron,21534975
chr1,21574064,21574418,6312,21574230,21574249,3.54e-08,-,1,702,Intron,21574239
chr1,21595325,21595933,6318,21595710,21595729,1.28e-07,-,1,728,Distal,21595719
chr1,21659018,21659454,6348,21659260,21659279,2.81e-06,-,1,756,Intron,21659269
chr1,21703273,21703632,6361,21703489,21703508,1.31e-05,+,2,638,Intron,21703498
chr1,21963925,21964300,6453,21964151,21964170,1.88e-06,-,1,759,Distal,21964160
chr1,22005200,22005722,6462,22005343,22005362,5.83e-06,-,2,653,Intron,22005352
chr1,22022837,22023204,6466,N,N,N,N,N,695,Distal,22023020
chr1,22105652,22106035,6491,22105813,22105832,1.63e-07,+,1,734,Distal,22105822
chr1,22131918,22132344,6501,22132067,22132086,3.09e-09,+,1,746,Intron,22132076
chr1,22275873,22276188,6544,N,N,N,N,N,732,Distal,22276030
chr1,22317310,22317632,6553,22317451,22317470,4.38e-06,-,2,657,Distal,22317460
chr1,22416621,22416899,6585,22416759,22416778,3.09e-07,-,2,743,Distal,22416768
chr1,22420490,22420864,6586,22420619,22420638,4e-06,+,1,715,Distal,22420628
chr1,22642051,22642585,6667,22642197,22642216,2.61e-08,-,1,751,Promoter,22642206
chr1,22665807,22666117,6673,22665936,22665955,8.25e-07,+,2,626,Distal,22665945
chr1,22673969,22674491,6674,22674319,22674338,1.9e-09,+,2,717,Distal,22674328
chr1,22704400,22704759,6683,22704620,22704639,4.32e-08,+,2,749,Distal,22704629
chr1,22862059,22862459,6740,22862272,22862291,4.46e-05,-,1,722,Promoter,22862281
